feature,score
360X603,1.00744e-06
330X1215,1.049215e-06
750X355,1.08747e-06
750X1111,1.14291e-06
750X326,1.15763e-06
360X269,1.17371e-06
330X1213,1.19022e-06
312X385,1.20331e-06
750X601,1.20361e-06
400X170,1.21515e-06
750X357,1.25426e-06
750X267,1.35305e-06
750X234,1.37261e-06
330X14,1.37829e-06
330X767,1.5036e-06
750X1051,1.50975e-06
330X924,1.62262e-06
750X1309,1.62431e-06
360X1122,1.69485e-06
310X166,1.79127e-06
750X1146,1.81147e-06
312X236,1.87111e-06
750X1009,1.98751e-06
420X144,2.02773e-06
330X807,2.06106e-06
360X472,2.070145e-06
330X1004,2.09085e-06
520X347,2.13867e-06
344X60,2.31346e-06
750X29,2.36631e-06
420X160,2.36798e-06
360X266,2.40261e-06
312X33,2.60581e-06
360X875,2.61363e-06
360X374,2.67698e-06
750X618,2.759255e-06
330X964,2.7941e-06
400X111,2.80567666667e-06
312X525,2.83097e-06
210X18,2.96271666667e-06
520X98,3.02455e-06
312X155,3.05501e-06
750X384,3.058455e-06
360X101,3.08027e-06
330X778,3.13763e-06
520X189,3.17169e-06
420X121,3.181385e-06
750X602,3.284975e-06
750X991,3.40602e-06
750X282,3.41926e-06
360X1068,3.47264e-06
750X872,3.55916e-06
750X1162,3.57228e-06
360X806,3.67547e-06
440AX210,3.71341e-06
330X734,4.06637e-06
360X785,4.160705e-06
520X66,4.18445e-06
520X95,4.22871e-06
330X1311,4.33994e-06
330X1058,4.41294e-06
330X655,4.425795e-06
420X153,4.62645e-06
360X494,4.63953e-06
750X563,4.67826e-06
400X218,4.68038e-06
750X1006,4.75455e-06
312X311,4.7786e-06
750X1208,4.82137e-06
750X463,5.17333e-06
360X326,5.22182e-06
312X101,5.30833e-06
330X1173,5.32223e-06
360X1003,5.357615e-06
360X225,5.663545e-06
360X321,5.78057e-06
750X989,5.83342e-06
400X68,5.94483e-06
520X368,5.97484e-06
750X1207,5.99131e-06
312X340,6.059925e-06
312X426,6.14864e-06
750X390,6.20419e-06
360X18,6.28987e-06
750X280,6.29232e-06
330X1023,6.348225e-06
330X1010,6.67909e-06
520X229,6.68987e-06
312X174,6.741595e-06
330X707,6.79479e-06
750X1325,6.96325333333e-06
330X678,7.06943e-06
360X569,7.07375e-06
750X780,7.25402e-06
311X129,7.45261e-06
340X38,7.45441e-06
330X1227,7.4736e-06
330X953,7.6106e-06
750X1282,7.70219e-06
340X133,8.009e-06
440AX106,8.03881e-06
360X53,8.1168e-06
360X796,8.1688775e-06
312X191,8.59708333333e-06
420X154,8.59933166667e-06
520X397,8.753935e-06
520X281,8.831465e-06
340X8,8.95771e-06
312X386,9.19556e-06
750X1356,9.27167e-06
330X1094,9.31533e-06
520X186,9.467416e-06
750X481,9.60318e-06
400X147,9.76701e-06
330X1060,9.915015e-06
360X536,1.00159733333e-05
330X895,1.006538e-05
330X958,1.01374e-05
311X131,1.04643e-05
210X137,1.04799e-05
312X646,1.05439e-05
750X56,1.05504e-05
360X1383,1.08064e-05
210X110,1.114018e-05
400X36,1.15049e-05
360X1190,1.15379e-05
520X355,1.1667365e-05
750X877,1.16919e-05
360X305,1.1721985e-05
420X124,1.21565733333e-05
750X130,1.2353305e-05
750X1215,1.2431225e-05
360X1045,1.24494e-05
330X1118,1.249885e-05
330X885,1.26848e-05
420X147,1.28195e-05
344X156,1.284577e-05
520X145,1.290655e-05
312X487,1.299669e-05
330X349,1.3152215e-05
750X338,1.32161775e-05
750X588,1.3322425e-05
330X911,1.36822266667e-05
750X293,1.37428e-05
360X704,1.3779e-05
360X196,1.37943516667e-05
400X159,1.39426e-05
312X381,1.427405e-05
312X12,1.42760083333e-05
750X32,1.42849e-05
330X1229,1.43588e-05
330X1175,1.48035e-05
520X418,1.53234e-05
311X130,1.53687e-05
360X322,1.53699e-05
330X747,1.551295e-05
340X51,1.55373216667e-05
750X237,1.62262e-05
360X463,1.63079625e-05
750X147,1.65697e-05
330X1007,1.66103e-05
311X107,1.762683e-05
750X382,1.779177e-05
310X19,1.80973e-05
220X14,1.8281435e-05
750X139,1.85366275e-05
750X411,1.88191e-05
750X1273,1.91642e-05
312X219,1.9175445e-05
330X50,1.92205e-05
360X1032,1.93126e-05
360X788,1.99435e-05
312X208,2.0003062e-05
330X1138,2.00171e-05
312X8,2.05462e-05
750X999,2.09782e-05
400X145,2.09917e-05
520X318,2.10423e-05
750X344,2.12298e-05
360X528,2.18563e-05
420X110,2.2270805e-05
360X470,2.23313e-05
330X954,2.25944e-05
330X732,2.27791e-05
750X1029,2.285523e-05
312X213,2.28826e-05
360X777,2.30050066667e-05
750X236,2.341038e-05
750X341,2.3678265e-05
750X547,2.41180333333e-05
520X142,2.4195e-05
420X150,2.442617e-05
750X1072,2.46405e-05
330X1095,2.47656e-05
360X1095,2.484817e-05
520X183,2.539376875e-05
312X333,2.55779527778e-05
360X894,2.60237e-05
330X1305,2.60327e-05
360X985,2.60608e-05
344X15,2.67028e-05
312X517,2.70448566667e-05
400X63,2.71394e-05
750X343,2.73077e-05
360X411,2.74666e-05
360X1065,2.75953e-05
312X357,2.772069e-05
360X1086,2.7830493e-05
420X135,2.8029345e-05
330X1153,2.80571e-05
360X667,2.81486e-05
400X142,2.82465e-05
340X65,2.838491e-05
750X1317,2.8563e-05
344X210,2.85734483333e-05
340X134,2.87612e-05
750X398,2.886e-05
330X1035,2.91502e-05
360X1301,2.954911e-05
330X70,2.99201e-05
330X1304,3.0515072e-05
400X89,3.125961e-05
750X558,3.13018e-05
520X315,3.13795188889e-05
750X80,3.15265e-05
360X67,3.185707e-05
360X851,3.22632e-05
312X355,3.25371733333e-05
360X256,3.37917e-05
330X232,3.39957755556e-05
312X197,3.43412375e-05
330X854,3.43738e-05
750X163,3.504147e-05
750X6,3.5064555e-05
311X118,3.567745e-05
312X428,3.584832e-05
330X1151,3.58736566667e-05
750X1073,3.59394033333e-05
750X439,3.6026906e-05
360X288,3.606921e-05
360X174,3.60872e-05
312X28,3.6467365e-05
330X833,3.66255e-05
520X88,3.70062275e-05
330X987,3.71985e-05
520X289,3.7678925e-05
360X1333,3.828158e-05
750X22,3.82828e-05
400X70,3.841815e-05
344X196,3.857665375e-05
360X7,3.8885e-05
360X1054,3.89656e-05
344X6,3.93326075e-05
750X89,3.939368e-05
750X385,4.02756e-05
750X467,4.04960125e-05
330X784,4.12666e-05
312X350,4.21952033333e-05
520X326,4.334193e-05
